iter	Passed	Remaining
963	23814	889
964	23845	864
965	23874	840
966	23898	815
967	23923	790
968	23946	766
969	23970	741
970	23997	716
971	24022	692
972	24046	667
973	24070	642
974	24093	617
975	24116	593
976	24139	568
977	24164	543
978	24202	519
979	24230	494
980	24257	469
981	24281	445
982	24305	420
983	24331	395
984	24359	370
985	24381	346
986	24402	321
987	24425	296
988	24450	271
989	24472	247
990	24498	222
991	24522	197
992	24545	173
993	24571	148
994	24596	123
995	24618	98
996	24641	74
997	24668	49
998	24694	24
999	24717	0
